YEAR,LOCATION,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE
2009,FLORIDA,34000.0,37000.0,1292000.0,38.0
2009,GEORGIA,440000.0,470000.0,15840000.0,36.0
2009,ILLINOIS,9350000.0,9400000.0,430100000.0,46.0
2009,INDIANA,5440000.0,5450000.0,266560000.0,49.0
2009,IOWA,9530000.0,9600000.0,486030000.0,51.0
2009,KANSAS,3650000.0,3700000.0,162425000.0,44.5
2009,KENTUCKY,1420000.0,1430000.0,68160000.0,48.0
2009,LOUISIANA,940000.0,1020000.0,36660000.0,39.0
2009,MARYLAND,475000.0,485000.0,19950000.0,42.0
2009,MICHIGAN,1990000.0,2000000.0,79600000.0,40.0
2009,MINNESOTA,7120000.0,7200000.0,284800000.0,40.0
2009,MISSISSIPPI,2030000.0,2160000.0,77140000.0,38.0
2009,MISSOURI,5300000.0,5350000.0,230550000.0,43.5
2009,NEBRASKA,4760000.0,4800000.0,259420000.0,54.5
2009,NEW JERSEY,87000.0,89000.0,3654000.0,42.0
2009,NEW YORK,254000.0,255000.0,10922000.0,43.0
2009,NORTH CAROLINA,1750000.0,1800000.0,59500000.0,34.0
2009,NORTH DAKOTA,3870000.0,3900000.0,116100000.0,30.0
2009,OHIO,4530000.0,4550000.0,221970000.0,49.0
2009,OKLAHOMA,390000.0,405000.0,12090000.0,31.0
